gene_name,num_cell_types
ALAS2,2
ANKRD36BP1,2
UGCG,2
AMPD2,2
AMPD1,2
AML3,2
USP15,2
ISG15,2
IRF7,2
IRF4,2
IDO1,2
IFI27,2
IFI30,2
LGALS2,2
BACH2,2
OFD1,2
GLUL,2
SNRNP25,2
GNS,2
LILRB4,2
SUSD1,2
CD101,2
SVIL,2
CD105,2
SMAP2,2
CCR10,2
SPIB,2
SMAD1,2
SMA,2
GPR155,2
CARD11,2
SPN,2
CD160,2
LPCAT1,2
C5AR1,2
C1QB,2
CAMK IV,2
GNG2,2
LITAF,2
STK10,2
STT3A,2
CCM2,2
GZMM,2
GYPC,2
STX3,2
SPARC,2
GNG11,2
SOD2,2
LRRC32,2
GNG7,2
STXBP2,2
LIMS1,2
CCL3,2
C1QC,2
LILRA2,2
LGMN,2
CD1E,2
GRAMD1A,2
SLC2A6,2
TAGLN2,2
TAGLN,2
CASP1,2
SSR1,2
SLC31A2,2
SSR4,2
SOCS3,2
SLC7A11,2
HSPE1,1
HSPA7,1
HSPC196,1
HSBP1,1
HSPC193,1
FCER1G,1
FGG,1
ID3,1
HS3ST3B1,1
FGL1,1
HPSE,1
GBP4,1
GGA2,1
HSPB1,1
GPX110,1
HPS4,1
HPRT1,1
GIMAP1,1
FBXO7,1
FHIT,1
IDH3A,1
FINB,1
HSP90AA1,1
GPR27,1
HULC,1
GPRC5D,1
GPR15,1
FEN1,1
GPR146,1
GPM6B,1
GBP5,1
FEZ2,1
FFAR2,1
FGB,1
GPR84,1
FGD3,1
GPBAR1,1
FGD4,1
FBXO5,1
GP5,1
GCA,1
GOLT1A,1
HSPA13,1
FCRL5,1
FCRLA,1
FCHSD2,1
GNRH1,1
GPR18,1
GNAQ,1
IDO2,1
FABP1,1
FAM135A,1
IGFBP3,1
IGFLR1,1
IGHA1,1
GLCE,1
FAM126A,1
GIMAP8,1
IGHG1,1
IGHG2,1
GLCCI1,1
GJB2,1
IGHG3,1
FAM105A,1
FAM102A,1
F5,1
IER2,1
IGHG4,1
GLA,1
F13A1,1
