gene_name,num_cell_types
STAG3L4,1
STAM,1
STAMBPL1,1
STAP1,1
STAT4,1
STIP1,1
SUN2,1
STK38,1
STMN12,1
STMN3,1
STRBP,1
STX11,1
STX18,1
SUB1,1
SUCLA2,1
SUCLG1,1
SULF2,1
SULT1A1,1
SULT2A1,1
SUMO2,1
TGFBR2,1
TGFBR3,1
TGM2,1
TP53I11,1
TNFAIP2,1
TNFAIP3,1
TNFAIP6,1
TNFRSF10C,1
TNFRSF14,1
TNFRSF21,1
TNFSF12,1
TNFSF8,1
TNIP1,1
TNMD,1
TNNI2,1
TOMM7,1
TOX,1
TP53I13,1
THAP7,1
TPCN1,1
TPM1,1
TPM2,1
TPSAB1,1
TRAF1,1
TRAF4,1
TRAM2,1
TRAP1,1
TRAT1,1
TRAV1-2,1
TRB,1
TRBC1,1
TRBC2,1
TNF,1
TNC,1
TMTC1,1
TMSB4X,1
THEM4,1
THSD1P1,1
TIA1,1
TIAM1,1
TIMM13,1
TIMP2,1
TKT,1
TLDC2,1
TLE4,1
TLR1,1
TLR8,1
TM2D2,1
TM4-B,1
TM4SF19,1
TM4SF19-TCTEX1D2,1
TMBIM1,1
TMEFF1,1
TMEM109,1
TMEM11,1
TMEM123,1
TMEM134,1
TMEM154,1
TMEM176B,1
TMEM19,1
TMEM273,1
TMIGD2,1
TMPO,1
PTPRO,1
PTPRE,1
PTPN7,1
MAD2L1,1
LRRC36,1
LRRC75A,1
LRRFIP1,1
LSP1,1
LTA,1
LTA4H,1
LTB3,1
LTB4R,1
LTK,1
LUZP6,1
LY6E,1
LYST,1
LZTFL1,1
MAF,1
LRRC25,1
MAFF,1
MAGED1,1
MAGED2,1
MALAT1,1
MAML2,1
MAN1A1,1
MAN2B1,1
MANEA,1
MAP1A,1
MAP2K6,1
MAP3K1,1
MAP3K4,1
MAP4K1,1
LRRC26,1
LRRC18,1
MAPKAPK2,1
LOC339493,1
LOC129607,1
LOC153222,1
LOC162073,1
LOC196463,1
LOC197135,1
LOC202908,1
LOC220213,1
LOC253782,1
LOC283431,1
LOC283989,1
LOC284018,1
LOC284454,1
LOC286088,1
LOC339745,1
LRP8,1
LOC342616,1
LOC348235,1
LOC51061,1
LOC51320,1
LOC55580,1
LOC56854,1
LOC56902,1
LOC652276,1
LOC91947,1
LOC92162,1
LOC93082,1
LRP1,1
LRP10,1
MAP4K4,1
MARS,1
PTPN6,1
MGLL,1
MGC24133,1
MGC26226,1
MGC3036,1
MGC3067,1
MGC33602,1
MGC45731,1
MGC4796,1
MGC5244,1
MGC5306,1
MGC5618,1
MGC61571,1
MGC7036,1
MGC9726,1
MICAL2,1
MGC23244,1
MIF4GD,1
MILR1,1
MIS18A,1
MKRN1,1
MLXIP,1
MMP1,1
MMP12,1
MMP19,1
MMPL1,1
MOB1B,1
MPEG1,1
MPP1,1
MPP7,1
MGC24001,1
MGC16353,1
MBD2,1
MED12L,1
MBD6,1
MBP,1
MCM10,1
MCM2,1
MCM6,1
MCM7,1
MCOLN1,1
MCOLN2,1
MCTP1,1
MDFIC,1
MDN1,1
MDS010,1
MECR,1
MEF2D,1
MGC16044,1
MEFV,1
MEGF9,1
MELK,1
METTL7A,1
METTL9,1
MFSD2A,1
MFT2,1
MGAT2,1
MGAT4A,1
MGC10500,1
MGC14126,1
MGC15606,1
MGC15763,1
LMO7,1
LMAN1,1
LLGL2,1
ITPR1,1
IRAK2,1
IRAK3,1
IRF1,1
IRF2BP2,1
IRF5,1
ITFG2,1
ITGA2,1
ITGA6,1
ITGAE,1
ITGB7,1
ITGB8,1
ITK,1
ITPKB,1
ITPR2,1
IPLA2,1
IVNS1ABP,1
JMJD1C,1
JUNB,1
KANK1,1
KCNAB2,1
KCNJ2,1
KCNK6,1
KCNQ4,1
KCTD12,1
KDM1B,1
KDM5D,1
KIAA0101,1
KIAA0102,1
IQGAP2,1
INSR,1
LINC01550,1
IL23A,1
IL12B,1
IL12RB1,1
IL13,1
IL15,1
IL15RA,1
IL17A,1
IL19,1
IL1F9,1
IL1R1,1
IL1RAP,1
IL2,1
IL21,1
IL22,1
IL24,1
INSIG1,1
IL27RA,1
IL2RG,1
IL3,1
IL5,1
IL9,1
IMD74,1
IMPDH1,1
IMPDH2,1
INF2,1
INHBA,1
INOS,1
INPP4B,1
INPP5B,1
KIAA0346,1
KIAA0379,1
KIAA0513,1
LCT-AS1,1
KRT7,1
KSR1,1
KYNU,1
L1TD1,1
LACC1,1
LACTB,1
ZP3,1
LAMP5,1
LAT2,1
LAX1,1
LAYN,1
LCN2,1
LCP2,1
LECTIN,1
KIAA0746,1
LEF1-AS1,1
LEPROTL1,1
LFIO9330,1
LGALS3,1
LIF,1
LILRA1,1
LILRA5,1
LILRA6,1
LILRB3,1
LIMA1,1
LIME1,1
LINC00926,1
LINC00996,1
KRT23,1
KRR1,1
KPNA2,1
KNS-CL.4,1
KIAA0779,1
KIAA0930,1
KIAA1126,1
KIAA1363,1
KIAA1384,1
KIAA1404,1
KIAA1546,1
KIAA1902,1
KIAA2010,1
KIF14,1
KIF16B,1
KIF2C,1
KIR2DL4,1
KIR2DS2,1
KIR2DS5,1
KIR3DL1,1
KIR3DL2,1
KIR3DS1,1
KIRREL3,1
KLF10,1
KLF11,1
KLF3,1
KLF4,1
KLIP1,1
KLK3,1
KLRK1,1
KNG1,1
MPPE1,1
MRC1,1
MRPL36,1
PISD,1
PHEX,1
PHF19,1
PHLPP2,1
PHTF2,1
PI16,1
PI4KII,1
PICALM,1
PIEZO1,1
PIG6B,1
PIK3AP1,1
PIK3CB,1
PIK3CD,1
PIK3R5,1
PITPN,1
PHC2,1
PITPNM1,1
PLA2G12A,1
PLA2G2A,1
PLA2G7,1
PLAAT4,1
PLAC84,1
PLCD1,1
PLD1,1
PLD3,1
PLEK2,1
PLEKHB1,1
PLEKHB2,1
PLEKHG3,1
PHC3,1
PGD,1
PALM2,1
PDCD4,1
PAPLN,1
PAPOLA,1
PARK7,1
PARK72,1
PARP10,1
PATL2,1
PAX5,1
PBLD,1
PCBD1,1
PCMTD1,1
PCNX,1
PCYOX1,1
PDCD1LG2,1
PDE3B,1
PFKP,1
PDE4DIP,1
PDGFC,1
PDLIM1,1
PDLIM5,1
PDLIM7,1
PEA15,1
PEBP1,1
PELATON,1
PELI1,1
PEP1,1
PER1,1
PFK-2/FBPASE-2,1
PFKFB3,1
PLEKHO2,1
PLIN2,1
PLP2,1
PSMC1,1
PRKCA,1
PRKCB,1
PRKCH,1
PRKCQ,1
PRKCQ-AS1,1
PRKX,1
PROK2,1
PRRG4,1
PRSS1,1
PRSS23,1
PRSS57,1
PSGL1,1
PSIP1,1
PSTPIP2,1
PLP21,1
PTCRA,1
PTEN,1
PTGER2,1
PTGER4,1
PTGR1,1
PTGS1,1
PTGS2,1
PTK2,1
PTK7,1
PTP4A3,1
PTPN13,1
PTPN1L,1
PTPN4,1
PRELID2,1
PRDX1,1
PRDM2,1
PRDM1,1
PLXDC2,1
PLXNA4,1
PLXNC1,1
PMEL,1
PMS2P5,1
PNOC,1
PNPLA6,1
POLB,1
POLR1B,1
POLR2H,1
POU2F2,1
POU5F1,1
PPARA,1
PPFIBP1,1
PPIB1,1
PPIF,1
PPM1H,1
PPM1J,1
PPM1K,1
PPM1M,1
PPP1R14A,1
PPP1R14B,1
PPP1R2,1
PPP6R1,1
PPT1,1
PRAP1,1
PRC1,1
PALM2AKAP2,1
PAIP1,1
MRPS6,1
NCK1,1
NAGK,1
NAGPA,1
NALP7,1
NANOG,1
NAP1L1,1
NAPSA,1
NAPSB1,1
NBEAL2,1
NCALD,1
NCF1,1
NCF1B,1
NCF1C,1
NCF4,1
NCR3,1
NADK,1
NDFIP1,1
NDNL2,1
NDRG1,1
NDRG2,1
NDUFA3,1
NDUFA4,1
NDUFB3,1
NECAP2,1
NEK6,1
NEK8,1
NESTIN,1
NET1,1
NEURL1,1
NAGA,1
NACA5,1
PAG1,1
MUC1,1
MS4A4A,1
MSC,1
MSN,1
MSRB1,1
MT-ATP6,1
MT-CO1,1
MT-CO3,1
MT-CYB,1
MT-ND3,1
MTERF2,1
MTF1,1
MTMR11,1
MTND6,1
MX1,1
NAAA,1
MX2,1
MXD3,1
MYB24,1
MYBL1,1
MYBL2,1
MYDGF,1
MYH11,1
MYL12A,1
MYL12A7,1
MYO1F,1
MYOF,1
MYOM2,1
N4BP2,1
NFATC2IP,1
NFATC3,1
NFKBID,1
OST4,1
OATPRP4,1
OAZ1,1
OAZ2,1
OGFRL1,1
OGT,1
OLIG2,1
OLR1,1
ORM1,1
ORM2,1
OSBPL10,1
OSBPL11,1
OSBPL3,1
OSBPL5,1
OSTC,1
NFX1,1
OVOS2,1
OXNAD1,1
P2RX1,1
P2RX5,1
P2RX7,1
P2RY14,1
P2RY6,1
P4HB,1
PA2G4,1
PABPC1,1
PACSIN1,1
PAFAH1B3,1
PAFAH2,1
NUSAP1,1
NUPR1,1
NUP62,1
NUP214,1
NGFR,1
NICN1,1
NIFK,1
NLRC3,1
NLRP1,1
NLRP3,1
NOG,1
NOP56,1
NOP58,1
NOTCH4,1
NPAT,1
NPC2,1
NPC25,1
NPEPPS,1
NR4A1,1
NR4A3,1
NRIP3,1
NRP2,1
NS8,1
NSMAF,1
NT5C3,1
NT5E,1
NUB1,1
NUCB2,1
NUDT16,1
NUDT21,1
NUMB,1
LAMP3,1
